KEY,en_US,fr_FR,de_DE
skills,skills,compétences,Kompetenzen
step by step manual,suggested activities,activités suggérées,Vorgeschlagene Aktivitäten
suggested activities,suggested activities,activités suggérées,Vorgeschlagene Aktivitäten
use your mouse or the arrows to read the story,scroll or use the arrow buttons to read the story,faire défiler la page ou utiliser les flèches pour lire l’histoire,Scrollen oder klicken Sie auf die Pfeile um den Artikel zu lesen
you seem too far from Luxembourg,you appear to be too far from Luxembourg,trop loin du Luxembourg,zu weit von Luxemburg entfernt
see how other teachers used our materials,,voir ce que d'autres enseignant-e-s ont utilisé,sehen was andere LehrerInnen benutzt haben
year,year,année,Jahr
coordinator(s),coordinator(s),coordinateur(s),Koordinator(en)
first name,first name,prénom,Vorname
last name,last name,nom,Nachname
contact message,message,message,Nachricht
contact us,Contact us,Contactez-nous,Kontaktieren Sie uns
cookies,"We use cookies to improve your experience. By continuing to use this site you are giving consent to cookies being used. For more information, please visit our terms and conditions page.","Nous utilisons des cookies afin d'améliorer le fonctionnement de notre site pour l'utilisateur. En continuant la navigation sur ce site, vous acceptez l'utilisation de ces cookies. Pour plus d'informations veuillez consulter la page sur les conditions d'utilisation.",Diese Seite verwendet Cookies. Durch die Nutzung dieser Webseite erklären Sie sich mit der Verwendung von Cookies einverstanden. Detaillierte Informationen zu Cookies erhalten Sie in unseren Nutzungsbedingungen.
captcha below,please type the characters you see in the box below,veuillez entrer les caractères indiqués dans la boîte ci-dessous,Bitte die in der Box angezeiten Zeichen eingeben
send message,send message,envoyer message,Nachricht senden
please correct the errors in the contact form,please correct the errors in the contact form,veuillez corriger les erreurs dans le formulaire de contact,Bitte korrigieren Sie die Fehler im Kontaktformular
all field are compulsory,all field are compulsory,tous les champs doivent être complétés,Alle Felder sind Pflichtfelder
thank you your message has been received correctly,"Thanks for your message.
We will reply to you as soon as possible.","Merci pour votre message.
Nous vous répondrons dès que possible.","Vielen Dank für Ihre Nachricht. 
Wir werden Ihnen baldmöglichst antworten."
email,email,adresse mail,Email
got it,got it,vu,Verstanden
read more,read more,lire la suite,Lesen Sie mehr
contact-us email content,"your message has been successfully sent to our staff. You will receive a reply as soon as possible. Best wishes, The Éischte Weltkrich Team
C²DH - Luxembourg Centre for Contemporary and Digital History – Université du Luxembourg – Maison des Sciences Humaines – 11, Porte des Sciences – L-4366 Esch-sur-Alzette (LUXEMBOURG)
","Votre message a été envoyé avec succès à nos collaborateurs. Vous recevrez une réponse dans les meilleurs délais. Meilleures salutations, L'équipe Éischte Weltkrich
C²DH - Luxembourg Centre for Contemporary and Digital History – Université du Luxemburg – Maison des Sciences Humaines – 11, Porte des Sciences – L-4366 Esch-an-der-Alzette (LUXEMBOURG)","Ihre Nachricht wurde erfolgreich an unsere Mitarbeiter übermittelt. Sie erhalten so bald wie möglich Antwort. Beste Grüsse, das Éischte Weltkrich Team
C²DH - Luxembourg Centre for Contemporary and Digital History – Universität Luxemburg – Maison des Sciences Humaines – 11, Porte des Sciences – L-4366 Esch-an-der-Alzette (LUXEMBURG)"
book,book,livre,Buch
introduction,introduction,introduction,Einleitung
by,by,par,von
submit,Contact us,Contactez-nous,Kontaktieren Sie uns
